system:time_start,Kota,Baksil,Tahura,BMKG
21-May-13,,20.841,17.485,
30-May-13,,,,
22-Jun-13,,18.328,15.88,
8-Jul-13,28.004,22.798,19.565,
24-Jul-13,26.437,22.812,19.049,
9-Aug-13,29.465,23.745,19.583,
25-Aug-13,35.969,28.495,22.335,
10-Sep-13,37.01,28.78,23.095,
26-Sep-13,35.897,27.479,22.594,
12-Oct-13,30.623,25.723,22.119,
13-Nov-13,,,,
29-Nov-13,,,,
15-Dec-13,,,,
1-Feb-14,21.887,19.599,13.788,
17-Feb-14,,,,
5-Mar-14,23.697,,,
21-Mar-14,,,,
6-Apr-14,20.566,12.858,,
22-Apr-14,24.144,18.829,14.387,
8-May-14,12.248,,,
24-May-14,11.314,16.908,15.257,
9-Jun-14,28.936,24.623,22.049,
25-Jun-14,25.54,22.505,18.545,
11-Jul-14,26.576,22.046,,
27-Jul-14,24.225,19.963,13.961,
12-Aug-14,28.404,22.487,,
28-Aug-14,31.896,23.58,,
13-Sep-14,34.225,27.662,23.267,
29-Sep-14,34.116,25.737,22.071,
15-Oct-14,,,,
31-Oct-14,,22.537,,
16-Nov-14,,,,
18-Dec-14,,,,
4-Feb-15,,,,
8-Mar-15,,,,
24-Mar-15,,,16.344,
9-Apr-15,,20.558,,
18-Apr-15,,,,
11-May-15,,,,
27-May-15,28.14,23.799,19.985,
12-Jun-15,30.518,24.874,20.348,
28-Jun-15,30.999,25.47,21.568,
14-Jul-15,,22.296,18.644,
30-Jul-15,,,,
15-Aug-15,31.392,26.7,22.127,
31-Aug-15,33.959,28.235,23.287,
16-Sep-15,,,,
2-Oct-15,31.926,26.551,,
18-Oct-15,30.225,24.3,20.111,
3-Nov-15,38.644,30.594,25.814,
19-Nov-15,30.972,25.07,18.497,
5-Dec-15,,,,
21-Dec-15,,,,
6-Jan-16,,,,
22-Jan-16,25.978,19.703,,
7-Feb-16,26.272,19.068,17.771,
23-Feb-16,28.85,21.698,18.775,
10-Mar-16,28.353,25.26,17.461,
26-Mar-16,,,,
11-Apr-16,,,,
27-Apr-16,,17.47,,
6-May-16,,,,
13-May-16,26.546,22.754,19.917,
29-May-16,,,,
14-Jun-16,,,,
30-Jun-16,23.817,21.992,19.295,
16-Jul-16,,,,
1-Aug-16,25.826,23.904,21.178,
17-Aug-16,27.971,23.387,,
2-Sep-16,31.364,25.433,19.843,
18-Sep-16,,,,
4-Oct-16,,,,
20-Oct-16,,,,
5-Nov-16,,,,
7-Dec-16,,,,
23-Dec-16,,,,
8-Jan-17,,,,
24-Jan-17,24.85,20.687,16.24,
25-Feb-17,,,,
13-Mar-17,31.322,18.999,13.207,
29-Mar-17,18.989,,,
14-Apr-17,,21.709,,
16-Apr-17,,,,
30-Apr-17,17.877,21.926,19.215,
16-May-17,30.102,25.394,21.902,
1-Jun-17,,,,
17-Jun-17,24.68,23.598,21.215,
3-Jul-17,,13.44,,
19-Jul-17,27.128,22.614,19.79,
4-Aug-17,,,,
20-Aug-17,25.352,17.564,,
5-Sep-17,,12.222,,
21-Sep-17,29.345,,,
7-Oct-17,27.886,21.008,17.894,
23-Oct-17,34.379,27.383,22.964,
8-Nov-17,,,,
24-Nov-17,,,,
10-Dec-17,,,,
26-Dec-17,22.904,19.598,13.303,
11-Jan-18,,,,
27-Jan-18,,,,
28-Feb-18,,,,
16-Mar-18,,11.395,12.389,
1-Apr-18,31.418,25.875,21.899,
17-Apr-18,23.048,18.537,,
3-May-18,28.568,,18.89,
19-May-18,22.821,19.272,16.255,
4-Jun-18,30.207,25.229,20.813,
20-Jun-18,27.873,23.702,20.131,
6-Jul-18,30.369,25.496,21.342,
22-Jul-18,28.6,24.569,20.961,
7-Aug-18,29.824,24.482,19.955,
23-Aug-18,31.078,26.063,21.972,
8-Sep-18,29.885,24.642,18.657,
24-Sep-18,25.686,17.426,18.902,
10-Oct-18,33.118,26.852,19.642,
26-Oct-18,28.238,24.791,,
11-Nov-18,,,,
27-Nov-18,,21.793,18.727,
13-Dec-18,,,,
29-Dec-18,25.761,21.293,18.96,
1/15/2013,,,,23.4
2/15/2013,,,,23.4
3/15/2013,,,,23.8
4/15/2013,,,,23.7
5/15/2013,,,,23.5
6/15/2013,,,,23.6
7/15/2013,,,,22.5
8/15/2013,,,,23.2
9/15/2013,,,,23.7
10/15/2013,,,,23.8
11/15/2013,,,,23.8
12/15/2013,,,,23.1
1/15/2014,,,,22.5
2/15/2014,,,,22.9
3/15/2014,,,,23.3
4/15/2014,,,,23.7
5/15/2014,,,,23.5
6/15/2014,,,,23.5
7/15/2014,,,,23
8/15/2014,,,,23.1
9/15/2014,,,,23.7
10/15/2014,,,,24.2
11/15/2014,,,,23.6
12/15/2014,,,,23.7
1/15/2015,,,,23.2
2/15/2015,,,,23.1
3/15/2015,,,,23.4
4/15/2015,,,,23.6
5/15/2015,,,,23.5
6/15/2015,,,,23.1
7/15/2015,,,,23.1
8/15/2015,,,,23.6
9/15/2015,,,,23.8
10/15/2015,,,,24.5
11/15/2015,,,,23.9
12/15/2015,,,,23.7
1/15/2016,,,,23.8
2/15/2016,,,,24
3/15/2016,,,,24.1
4/15/2016,,,,24
5/15/2016,,,,24
6/15/2016,,,,23.7
7/15/2016,,,,23.3
8/15/2016,,,,23.6
9/15/2016,,,,23.6
10/15/2016,,,,23.1
11/15/2016,,,,23.4
12/15/2016,,,,24.4
1/15/2017,,,,24.2
2/15/2017,,,,23
3/15/2017,,,,23.3
4/15/2017,,,,23.6
5/15/2017,,,,23.9
6/15/2017,,,,23.4
7/15/2017,,,,23.4
8/15/2017,,,,23.3
9/15/2017,,,,23.7
10/15/2017,,,,23.4
11/15/2017,,,,23.1
12/15/2017,,,,23.9
,27.29597059,21.3112987,18.60181667,23.53166667
